runner	PASS	FAIL	SKIP	total	native-only
testdir	9	3	0	12	0
typechecker	0	0	0	0	0
package	0	0	0	0	0
total	9	3	0	12	0

product	roots	native-applicable	SKIP	native-only
total	12	12	0	0

owner	count
151	2
152	0
153	0
154	0
package	0
unclassified	1
retained	0
total	3
