# release	go1.27.0
# source	https://go.dev/dl/go1.27.0.src.tar.gz
# source_sha256	7002403d7cc44529ef6d26f69a44818263395ead7c16c05a5808ae047ebeb0e5
# license	BSD-3-Clause
# generated_by	tools/go-corpus/refresh.sh
# path	action	bytes	sha256
test/alias1.go	run	803	7fc2f1b41dd7a992c992218351b1c9711a8971487ce7a83baed89b57bd7f9cf3
test/alias2.go	errorcheck	2565	67029430c59783f0a0072e8f905f2f34bf222657e6de25ce9307567cbe866b89
test/alias3.dir/a.go	none	540	2ce23b42531f79b8d0e18cd3d6fc402fb9ea1d2077a1b8183df27b67afdd1b33
test/alias3.dir/b.go	none	482	772986a14da50b3fcce2015748a7f09df93e5e8b20dac8357c9667b5067358fd
test/alias3.dir/c.go	none	490	105b569e9e7ab51f447a744a9c90fa65eaf716e2507ecf2fc8929aaf2869e1b4
test/alias3.go	rundir	187	36a80df613d05ec5e5bb1c63d4a471c59097877860b28425f4ca303ed405b79b
test/align.go	run	603	a5d218bd8e2fed5f2623bfc9c911dc19e9b8781054769f3c94bd67f6f5c39c1a
test/append.go	run	9304	1b372f9acde600d171e9b0db13801b964f2d58be20e43238ec6ddc891f614160
test/append1.go	errorcheck	856	e20eed34363c56bd4180034ecfd146d36dded62f49e8b1dee43532b9bcebf1da
test/arenas/smoke.go	build	1652	d5581982f30fe5d277b22031020553415b80e27b618e83427213b7d9305b82ed
test/args.go	run	374	9c65782ad32e830b14cab7b0c823098771d9e237e9f32e283c03ae471a83c907
test/armimm.go	run	3944	fda730bdc3bbefe0fbdf47f78f59bc5f96a45f895131fb49b7790392187a5ff3
test/asmhdr.dir/main.go	none	1823	ed35f960e24721b3fa415856fea4b17636e09d2d42d75db5595f7279a830a3dc
test/asmhdr.go	buildrundir	237	021883ecec15d3f5f20d77b495a28daf4ac89bb52018b84089a947a317096b92
test/assign.go	errorcheck	1053	7e70e835c60a1d799f73ebb945ed4c7ef8b1dce91016c7278f451a7b864a758f
test/assign1.go	errorcheck	5686	0bc7a12f0a971504c392938e0e8e0b5dff92824fcba5294c398b769d5bd7e02b
test/atomicload.go	run	798	8a75a679a3d8c4d916f3e4210e963af255d3612373b929a266b1497fccf7a1f3
test/bigalg.go	run	2169	ef8c95aee8f8abeb3579b8471333b900a9eeab518d6b60effe03085a96febbf0
test/bigmap.go	run	2516	be1757ca05552921aa59210a3111558f524c3a5a0b970a22ead403455d7610dc
test/blank.go	run	2148	88685ef729b0982af9f643836363d24d1a856f47efe72df073ce8a6a457e82a8
test/blank1.go	errorcheck	724	d253760e9540bdc1d606ca35e729afb8e5466211288625b55f82bd338b1f18e3
test/bloop.go	errorcheck	2760	bc0798e080d0b2575a7eec1157e62488f6d589c8176d94a260634e9b91886fc6
test/bom.go	runoutput	406	42c0ce6129cb7869ca040852c0ca05afcec4e9417ebad658a46f9ea5c9142284
test/bombad.go	errorcheck	480	bd670af55bf23099f6ee81778acdf6a2fba6d82df728289b66c55c64e90f73d5
test/bounds.go	errorcheck	6240	c47fc4f1f795020bdc89865e9fa41911866a96536cf920010e85b9b93687c79a
test/cannotassign.go	errorcheck	1062	d86400887e218244b7d475f15680bd910f32b684980cc013921b4fd1bbbd1b2d
test/chan/doubleselect.go	run	2010	e42ddad3b22bc63d4706baef596dade8d367a5a274c15ef34b843edb8e788624
test/chan/fifo.go	run	896	ff13919254858830202c1a4263bf6a03a1ce709ad1613caf8dad1e99bf43fa4a
test/chan/goroutines.go	run	743	3e6f668791f534b58ef5fe3ec3fb3ee768a42da572cd02fbc5b861d1deef3ec9
test/chan/nonblock.go	run	4028	3ef670822e70975e44b928250b202241d758276dac6e89723897826d329ecd79
test/chan/perm.go	errorcheck	1428	564b3b617c71b7f36924cd941007defe9eb047ccd2acb9742d1e62a8209db814
test/chan/powser1.go	run	12960	b9bea76104bc94373662a7caf396ff5442961ed7071a32d599369b01b4c369c8
test/chan/powser2.go	run	13611	3922988a02807a382691ed16858d5d70f37820fae99cca419ec3630609bee72a
test/chan/select.go	run	913	0e24f058be8f05ab8fe63d5c6d99903a70c7802e1004287294ce5a0d199a75e9
test/chan/select2.go	run	1062	d7642f1189e423f5c57b65d76ea3153d4441e154176c64b73518563445b28f42
test/chan/select3.go	run	4170	b3fcd6ff7db96dfaafbbe55a6eab584090e9cb1e12ae8d5abc598c693b9c0c8c
test/chan/select4.go	run	513	81c76a2927b32797f15ba99c8895f787890060dafea570845ad9f6e3be8e5b9f
test/chan/select5.go	runoutput	10209	ad1913e484be13bffbda7c07522f64ec7fd9ffbe30288ca39e2f6a3781d79d98
test/chan/select6.go	run	783	951d568f9c17023404f3f8f0fc26e8630a36e493f4aa81227b5c8306d363900e
test/chan/select7.go	run	932	a41914c019db90f29b18a3371aedea4b4eb197a17bbc8d2f861925e851a1db89
test/chan/select8.go	run	826	556756557e5f7392fdcbd7cc3f4b7e8ba7df22622f87a90e75c857bfd6417e2d
test/chan/sendstmt.go	run	672	095b96535f6cdd6f82cef9031764d0634e2b446863df37fc38d95773613f1a35
test/chan/sieve1.go	run	1529	ddb8aa947eabbc8f11f759ed90d43e8e170ba14744b95aab5e33fadb505c5371
