path	mode	verdict	state	exit	phase	family
examples/multiple-return-values/multiple-return-values.go	oracle	pass	complete	0	run	pass
examples/multiple-return-values/multiple-return-values.go	interpreted	pass	complete	0	run	pass
examples/multiple-return-values/multiple-return-values.go	compiled	pass	complete	0	run	pass
examples/mutexes/mutexes.go	oracle	pass	complete	0	run	pass
examples/mutexes/mutexes.go	interpreted	pass	complete	0	run	pass
examples/mutexes/mutexes.go	compiled	pass	complete	0	run	pass
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	oracle	pass	complete	0	run	pass
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	interpreted	pass	complete	0	run	pass
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	compiled	pass	complete	0	run	pass
examples/number-parsing/number-parsing.go	oracle	pass	complete	0	run	pass
examples/number-parsing/number-parsing.go	interpreted	pass	complete	0	run	pass
examples/number-parsing/number-parsing.go	compiled	pass	complete	0	run	pass
examples/panic/panic.go	oracle	pass	complete	2	run	pass
examples/panic/panic.go	interpreted	fail_mismatch	complete	2	run	program-diagnostic
examples/panic/panic.go	compiled	pass	complete	2	run	pass
examples/pointers/pointers.go	oracle	pass	complete	0	run	pass
examples/pointers/pointers.go	interpreted	fail_mismatch	complete	2	run	program-diagnostic
examples/pointers/pointers.go	compiled	pass	complete	0	run	pass
examples/random-numbers/random-numbers.go	oracle	pass	complete	0	run	pass
examples/random-numbers/random-numbers.go	interpreted	pass	complete	0	run	pass
examples/random-numbers/random-numbers.go	compiled	pass	complete	0	run	pass
examples/range-over-built-in-types/range-over-built-in-types.go	oracle	pass	complete	0	run	pass
examples/range-over-built-in-types/range-over-built-in-types.go	interpreted	pass	complete	0	run	pass
examples/range-over-built-in-types/range-over-built-in-types.go	compiled	pass	complete	0	run	pass
examples/range-over-channels/range-over-channels.go	oracle	pass	complete	0	run	pass
examples/range-over-channels/range-over-channels.go	interpreted	pass	complete	0	run	pass
examples/range-over-channels/range-over-channels.go	compiled	pass	complete	0	run	pass
examples/range-over-iterators/range-over-iterators.go	oracle	pass	complete	0	run	pass
examples/range-over-iterators/range-over-iterators.go	interpreted	fail_mismatch	complete	2	run	generic-method-receiver
examples/range-over-iterators/range-over-iterators.go	compiled	pass	complete	0	run	pass
examples/rate-limiting/rate-limiting.go	oracle	pass	complete	0	run	pass
examples/rate-limiting/rate-limiting.go	interpreted	pass	complete	0	run	pass
examples/rate-limiting/rate-limiting.go	compiled	pass	complete	0	run	pass
examples/reading-files/reading-files.go	oracle	pass	complete	0	run	pass
examples/reading-files/reading-files.go	interpreted	pass	complete	0	run	pass
examples/reading-files/reading-files.go	compiled	pass	complete	0	run	pass
examples/recover/recover.go	oracle	pass	complete	0	run	pass
examples/recover/recover.go	interpreted	pass	complete	0	run	pass
examples/recover/recover.go	compiled	pass	complete	0	run	pass
examples/recursion/recursion.go	oracle	pass	complete	0	run	pass
examples/recursion/recursion.go	interpreted	fail_mismatch	complete	2	run	native-argument-type-identity
examples/recursion/recursion.go	compiled	pass	complete	0	run	pass
examples/regular-expressions/regular-expressions.go	oracle	pass	complete	0	run	pass
examples/regular-expressions/regular-expressions.go	interpreted	fail_mismatch	complete	1	run	program-diagnostic
examples/regular-expressions/regular-expressions.go	compiled	pass	complete	0	run	pass
examples/select/select.go	oracle	pass	complete	0	run	pass
examples/select/select.go	interpreted	pass	complete	0	run	pass
examples/select/select.go	compiled	pass	complete	0	run	pass
examples/sha256-hashes/sha256-hashes.go	oracle	pass	complete	0	run	pass
examples/sha256-hashes/sha256-hashes.go	interpreted	pass	complete	0	run	pass
examples/sha256-hashes/sha256-hashes.go	compiled	pass	complete	0	run	pass
examples/signals/signals.go	oracle	pass	complete	0	run	pass
examples/signals/signals.go	interpreted	fail_mismatch	complete	130	run	output-or-status-mismatch
examples/signals/signals.go	compiled	pass	complete	0	run	pass
examples/slices/slices.go	oracle	pass	complete	0	run	pass
examples/slices/slices.go	interpreted	pass	complete	0	run	pass
examples/slices/slices.go	compiled	pass	complete	0	run	pass
examples/sorting-by-functions/sorting-by-functions.go	oracle	pass	complete	0	run	pass
examples/sorting-by-functions/sorting-by-functions.go	interpreted	fail_mismatch	complete	1	run	program-diagnostic
examples/sorting-by-functions/sorting-by-functions.go	compiled	pass	complete	0	run	pass
examples/sorting/sorting.go	oracle	pass	complete	0	run	pass
examples/sorting/sorting.go	interpreted	fail_mismatch	complete	1	run	program-diagnostic
examples/sorting/sorting.go	compiled	pass	complete	0	run	pass
examples/spawning-processes/spawning-processes.go	oracle	pass	complete	0	run	pass
examples/spawning-processes/spawning-processes.go	interpreted	fail_normalization	complete	2	run	multiple-assignment-or-tuple
examples/spawning-processes/spawning-processes.go	compiled	pass	complete	0	run	pass
examples/stateful-goroutines/stateful-goroutines.go	oracle	pass	complete	0	run	pass
examples/stateful-goroutines/stateful-goroutines.go	interpreted	fail_normalization	complete	1	run	comparator-shape-or-prior-error
examples/stateful-goroutines/stateful-goroutines.go	compiled	pass	complete	0	run	pass
examples/string-formatting/string-formatting.go	oracle	pass	complete	0	run	pass
examples/string-formatting/string-formatting.go	interpreted	pass	complete	0	run	pass
examples/string-formatting/string-formatting.go	compiled	pass	complete	0	run	pass
examples/string-functions/string-functions.go	oracle	pass	complete	0	run	pass
examples/string-functions/string-functions.go	interpreted	pass	complete	0	run	pass
examples/string-functions/string-functions.go	compiled	pass	complete	0	run	pass
examples/strings-and-runes/strings-and-runes.go	oracle	pass	complete	0	run	pass
examples/strings-and-runes/strings-and-runes.go	interpreted	fail_mismatch	complete	1	run	imported-aggregate-selector
examples/strings-and-runes/strings-and-runes.go	compiled	pass	complete	0	run	pass
examples/struct-embedding/struct-embedding.go	oracle	pass	complete	0	run	pass
examples/struct-embedding/struct-embedding.go	interpreted	pass	complete	0	run	pass
examples/struct-embedding/struct-embedding.go	compiled	pass	complete	0	run	pass
examples/structs/structs.go	oracle	pass	complete	0	run	pass
examples/structs/structs.go	interpreted	pass	complete	0	run	pass
examples/structs/structs.go	compiled	pass	complete	0	run	pass
examples/switch/switch.go	oracle	pass	complete	0	run	pass
examples/switch/switch.go	interpreted	pass	complete	0	run	pass
examples/switch/switch.go	compiled	pass	complete	0	run	pass
examples/tcp-server/tcp-server.go	oracle	pass	complete	143	run	pass
examples/tcp-server/tcp-server.go	interpreted	pass	complete	143	run	pass
