# repository	https://github.com/mmcgrana/gobyexample.git
# commit	7d705626375ba0263b616865a286e1587d6989c8
# observed	2026-09-03
# license	CC-BY-3.0
# generated_by	tools/go-by-example/refresh.sh
# derived_from	docs/go-by-example/classification.tsv
# path	kind	behavior	normalization	adapter	requires	bytes	sha256
examples/json/json.go	program	deterministic	none	none	none	3910	2fc7c85f636a5f22d5480a7bc36262db6891d56890ea257470a8789afdb460a7
examples/line-filters/line-filters.go	program	stdin	none	stdin_fixture	none	1067	1f8b858817d3bdda938b6b6dc7ef217963d0d0eed9afb7080edb448188998617
examples/logging/logging.go	program	clock	wallclock	fake_clock	none	2320	a7c2043beb550a5a070019455a28de8bbaf92ab90455643a620837fe93aea446
examples/maps/maps.go	program	deterministic	none	none	none	1830	b5f6887155dfba0a2d017049b6c3d73a4eb2c347d17b38503b5c83a3f31e1138
examples/methods/methods.go	program	deterministic	none	none	none	894	e45520c211458cfeca1319c01657b537f3bbe23ee6aa2dc6456257b0a9292b27
examples/multiple-return-values/multiple-return-values.go	program	deterministic	none	none	none	615	c4b98dce32c4f49ca07b9044154639b6096902af4623c06838b7f1049d0bc85c
examples/mutexes/mutexes.go	program	concurrency	none	bounded_wait	none	1571	288acf44044d532f12ead0d173a521d7a67f272f9d4ce611c90dcdcafe0221f7
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	program	deterministic	none	none	none	1339	6a00893632b9026bc6c2540f89fd6f09f723e2350912cebf6a7837c15feb40f4
examples/number-parsing/number-parsing.go	program	deterministic	none	none	none	972	75ada008e5d6cb389050ddeadb56a5465becd62da26a40a928fb301e27e3598e
examples/panic/panic.go	program	process_exit	panic_trace	exit_status_capture	none	761	776fafea232f80b6dd876725afc2f7febe395e928b4bb8985e9c91a91a4cb156
examples/pointers/pointers.go	program	deterministic	none	none	none	1345	6eb2e7177ce71a30a22246e4b63389a9d146414b7ea6d3f64ec8d61328417cfa
examples/random-numbers/random-numbers.go	program	random	random_stream	seeded_random	none	1146	77ab19c6defebea5fce189c6762d9b5cf90661023d51879810122bfb408f363d
examples/range-over-built-in-types/range-over-built-in-types.go	program	map_iteration	map_order	none	none	1264	cf72a169a87925cedd2637e7025edcd691740271ef3b3510758a08360b604a41
examples/range-over-channels/range-over-channels.go	program	deterministic	none	none	none	627	28b0c821c5abab03d502954325bec2ba75af27474973be9dcf5bcb9210c2fd24
examples/range-over-iterators/range-over-iterators.go	program	deterministic	none	none	none	2667	7ee6216ba19fe8e06821e1e46391a5040f3ae29c289f477d17c6a5f1b8f60717
examples/rate-limiting/rate-limiting.go	program	clock,concurrency,timeout	wallclock	bounded_wait,fake_clock	none	1954	7595f131cf5a02bee5e3ff53798a78dd73bab7c5d6c571905d5de136a837dd66
