runner	PASS	FAIL	SKIP	total	native-only
testdir	0	831	0	831	0
typechecker	0	18	0	18	0
package	0	26	0	26	0
total	0	875	0	875	0

product	roots	native-applicable	SKIP	native-only
total	875	875	0	0

owner	count
151	501
152	96
153	87
154	7
package	26
unclassified	25
retained	133
total	875
