root	mode	first_line
testdir:codegen/mathbits.go	compiled	codegen/mathbits.go:188: linux/amd64/v1: opcode not found: `^POPCNTQ`
testdir:codegen/memcombine.go	interpreted	linux/amd64/v1
testdir:codegen/memcombine.go	compiled	codegen/memcombine.go:25: linux/amd64/v1: opcode not found: `^MOVQ \(.*\),`
testdir:codegen/memops.go	interpreted	linux/amd64/v1
testdir:codegen/memops.go	compiled	codegen/memops.go:17: linux/amd64/v1: opcode not found: `^CMPB command-line-arguments.x\+1\(SB\), [$]0`
testdir:codegen/moveload.go	interpreted	linux/amd64/v1
testdir:codegen/moveload.go	compiled	codegen/moveload.go:31: linux/amd64/v1: opcode not found: `^MOVBLZX`
testdir:codegen/multiply.go	interpreted	linux/amd64/v1
testdir:codegen/multiply.go	compiled	codegen/multiply.go:16: linux/amd64/v1: opcode not found: `^XORL`
testdir:codegen/reflect_type.go	interpreted	linux/amd64/v1
testdir:codegen/reflect_type.go	compiled	codegen/reflect_type.go:14: linux/amd64/v1: opcode not found: `^MOVL [$]8,`
testdir:codegen/regabi_regalloc.go	interpreted	linux/amd64/v1
testdir:codegen/regabi_regalloc.go	compiled	codegen/regabi_regalloc.go:12: linux/amd64/v1: opcode not found: `^MOVQ BX, CX`
testdir:codegen/retpoline.go	interpreted	linux/amd64/v1
testdir:codegen/retpoline.go	compiled	codegen/retpoline.go:9: linux/amd64/v1: opcode not found: `^CALL runtime.retpoline`
testdir:codegen/rotate.go	interpreted	linux/amd64/v1
testdir:codegen/rotate.go	compiled	codegen/rotate.go:22: linux/amd64/v1: opcode not found: `^ROLQ [$]7`
testdir:codegen/schedule.go	interpreted	linux/amd64/v1
testdir:codegen/schedule.go	compiled	codegen/schedule.go:15: linux/amd64/v1: opcode not found: `^INCQ`
testdir:codegen/shift.go	interpreted	linux/amd64/v1
testdir:codegen/shift.go	compiled	codegen/shift.go:72: linux/amd64/v1: opcode not found: `^ADDL`
testdir:codegen/slices.go	interpreted	linux/amd64/v1
testdir:codegen/slices.go	compiled	codegen/slices.go:24: linux/amd64/v1: opcode not found: `^.*memclrNoHeapPointers`
testdir:codegen/smallintiface.go	interpreted	linux/amd64/v1
testdir:codegen/smallintiface.go	compiled	codegen/smallintiface.go:11: linux/amd64/v1: opcode not found: `^LEAQ runtime.staticuint64s\+8\(SB\)`
testdir:codegen/spectre.go	interpreted	linux/amd64/v1
testdir:codegen/spectre.go	compiled	codegen/spectre.go:13: linux/amd64/v1: opcode not found: `^CMOVQCC`
testdir:codegen/stack.go	interpreted	linux/amd64/v1
testdir:codegen/stack.go	compiled	codegen/stack.go:26: linux/amd64/v1: opcode not found: `^TEXT .*, [$]0-`
testdir:codegen/strings.go	interpreted	linux/amd64/v1
testdir:codegen/strings.go	compiled	codegen/strings.go:16: linux/amd64/v1: opcode not found: `^.*countrunes`
testdir:codegen/structs.go	interpreted	linux/amd64/v1
testdir:codegen/structs.go	compiled	codegen/structs.go:24: linux/amd64/v1: opcode not found: `^MOVUPS X[0-9]+, \(.*\)`
testdir:codegen/switch.go	interpreted	linux/amd64/v1
testdir:codegen/switch.go	compiled	codegen/switch.go:30: linux/amd64/v1: opcode not found: `^JMP \(.*\)\(.*\)$`
testdir:codegen/typeswitch.go	interpreted	linux/amd64/v1
testdir:codegen/typeswitch.go	compiled	codegen/typeswitch.go:40: linux/amd64/v1: opcode not found: `^.*assertE2I2`
testdir:codegen/unsafe.go	interpreted	linux/amd64/v1
testdir:codegen/unsafe.go	compiled	codegen/unsafe.go:15: linux/amd64/v1: opcode not found: `^MOVQ \(.*\)\(.*\*1\), `
testdir:codegen/writebarrier.go	interpreted	linux/amd64/v1
testdir:codegen/writebarrier.go	compiled	codegen/writebarrier.go:12: linux/amd64/v1: opcode not found: `^.*runtime[.]gcWriteBarrier4\(SB\)`
testdir:codegen/zerosize.go	interpreted	linux/amd64/v1
testdir:codegen/zerosize.go	compiled	codegen/zerosize.go:16: linux/amd64/v1: opcode not found: `^MOVQ \$0, command-line-arguments\.s\+56\(SP\)`
