runner	PASS	FAIL	SKIP	total
testdir	10	97	0	107
typechecker	0	0	0	0
package	0	0	0	0
total	10	97	0	107

owner	count
151	19
152	0
153	71
154	0
unclassified	7
retained	0
total	97
