runner	PASS	FAIL	SKIP	total	native-only
testdir	6	7	0	13	0
typechecker	0	0	0	0	0
package	0	0	0	0	0
total	6	7	0	13	0

product	roots	native-applicable	SKIP	native-only
total	13	13	0	0

owner	count
151	2
152	0
153	3
154	0
package	0
unclassified	2
retained	0
total	7
