runner	PASS	FAIL	SKIP	total
testdir	72	142	0	214
typechecker	89	14	0	103
package	0	0	0	0
total	161	156	0	317

owner	count
151	7
152	8
153	5
154	22
unclassified	22
retained	92
total	156
