runner	PASS	FAIL	SKIP	total
testdir	87	127	0	214
typechecker	95	8	0	103
package	0	0	0	0
total	182	135	0	317

owner	count
151	9
152	8
153	8
154	4
unclassified	14
retained	92
total	135
