runner	PASS	FAIL	SKIP	total
testdir	6	208	0	214
typechecker	101	2	0	103
package	0	0	0	0
total	107	210	0	317

owner	count
151	6
152	0
153	5
154	94
unclassified	13
retained	92
total	210
