# Sprint: #150; Story: S150.4; Story-ID: c2950820e138
# Authenticated 150.4 `buildrundir` packet (manifest sprint142-leaf-packet-manifest/v4
# packet-150.4.json sha256 31a12b7643c6c0868b00112cefc4db71597f29ebad30a253709bd823528ce41b,
# count 4, root list sha256 64c4eba821c7bd4989d3ea47892df25e4ac8392968efd37c60016d5a1654597d).
# capability	test	action	sha256	selected_companions (path=sha256, comma-separated; - means none)
buildrundir-asmhdr	asmhdr.go	buildrundir	021883ecec15d3f5f20d77b495a28daf4ac89bb52018b84089a947a317096b92	asmhdr.dir/main.go=ed35f960e24721b3fa415856fea4b17636e09d2d42d75db5595f7279a830a3dc,asmhdr.dir/main.s=cd95f417a4fbdc976b8aee1c07e5bfc96a4ec3e2c5f1c9c267641da71c00c4e4
buildrundir-issue37513	fixedbugs/issue37513.go	buildrundir	e854be5368e5c103f275b01abf272ad3365bbec8c947c1996ddf63f249a425e8	fixedbugs/issue37513.dir/main.go=8c2ab51a03cd023d1967cdf614f57996704186e6d21d69d421845d7d2fe61153,fixedbugs/issue37513.dir/sigill_amd64.s=80d9fe67c4760f8ada688404406832408feb5cd52f6874057af24c74b73650ff
buildrundir-linknameasm	linknameasm.go	buildrundir	f7a696f0eecce8dbbba76b33459ca413258e64416fad16e6e775d308d33b7e37	linknameasm.dir/a_amd64.s=0793b4b8e0be1b98da7b3e1e859a0cc5ab83555fb40ac8716e2cfb53437b581b,linknameasm.dir/x.go=ac607dfe9b9f29b37197de16ef617081fc7c0460aafb597ec3cc4397a44154fe
buildrundir-retjmp	retjmp.go	buildrundir	091093e0883d4f4cf5067637aa9a7e57749cc44baa441bae061a4526bda4940f	retjmp.dir/a.s=2b9fa9b9e239e778aaae21a5f64b0eb021e7e3c591817b1d332572f4c4e4ce32,retjmp.dir/main.go=81b455a3b6f2103549fb9376d5f3d517508a13bef3913a11468cdcbfb50be0b7
