# capability	test	action	sha256	selected_companions (path=sha256, comma-separated; - means none)
ordered-mixed-output	fixedbugs/issue21808.go	run	68744619df851f7e18920eef051f9c3e16ff398c4a0d4c07f78d639613a3351d	-
compile-inputs-vs-program-argv	cmplxdivide.go	run	a0378f2eb4448bffa6925f45b05a69b0ea2bb24c6e290e2991da71f7b975ebe3	cmplxdivide1.go=79e18b095b65e63857d8c522700a1430c8eab1c0c66a043f22b63ef9d6da36a9
simple-compile	fixedbugs/bug020.go	compile	2d8e767923928752f70f07035bfc4e65d786f0cb30e6e4a4b43cf86b94d55031	-
expected-compile-error	fixedbugs/bug014.go	errorcheck	87abce2bda8f0181b1fa8ea503745a99ae51dcc0e83900a969a625f9873b13bb	-
directory-package-planning	fixedbugs/bug088.go	compiledir	1a2bbff0fc7c280687565b18e54df82b0e9e168e677e157cebeb75e89fe2c437	fixedbugs/bug088.dir/bug0.go=f4768940726deb8ef8aafb3b6eda82cffc30866b60930543159cff9401314bfc,fixedbugs/bug088.dir/bug1.go=609183e13b788f32bdb1a93848b92a4d18d8f611aede867b7917c653ba7fe206
generated-output	rotate0.go	runoutput	b8fb6f06dd5952b983ee8ec459dc210c698ddba105dbd1f0079dc56bfb2e754f	rotate.go=ef3ec935332d40ad5aa32f2666a73ef5efa8478863295e3632a7bf9b2a0571cf
assembler-planning	codegen/atomics.go	asmcheck	89e999bcbbb7b0ca121d34c0be201e3c0cbd9a40262800c7b64a773d765c897a	-
upstream-skip	cmplxdivide1.go	skip	79e18b095b65e63857d8c522700a1430c8eab1c0c66a043f22b63ef9d6da36a9	-
build-constraint-exclusion	fixedbugs/issue38093.go	run	196aaacc4a01768c95df38736a3294b9b4b9428fdbebda92537b6b44c6a9ee02	-
