runner	PASS	FAIL	SKIP	total
testdir	1289	1400	37	2726
typechecker	794	103	2	899
package	0	26	0	26
total	2083	1529	39	3651

owner	count
151	955
152	197
153	154
154	134
unclassified	53
retained	36
total	1529
