runner	PASS	FAIL	SKIP	total	native-only
testdir	99	12	0	111	0
typechecker	0	0	0	0	0
package	0	0	0	0	0
total	99	12	0	111	0

product	roots	native-applicable	SKIP	native-only
total	111	111	0	0

owner	count
151	0
152	0
153	0
154	0
unclassified	12
retained	0
total	12
