id	axis	attempt_state	product_verdict	adapter_category	native_status	unfinished_phase_count	unfinished_phases
cmd/compile/internal/types2:TestCheck/go1_12.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_13.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_16.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_19.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_19_20.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_20_19.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_21_19.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_21_22.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_22_21.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_25.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_8.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/go1_xx_19.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/gotos.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/importC.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/importdecl0	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/importdecl1	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/init0.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/init1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/init2.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/issue25008	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/issue70974.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/issues0.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/issues1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/labels.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/linalg.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/literals.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/lookup1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/lookup2.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/main0.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/main1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/map0.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/map1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/methodsets.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/shifts.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/slices.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/stmt0.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/stmt1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/typeinference.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/typeinst0.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/typeinst1.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/typeinstcycles.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/typeparams.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/unions.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestCheck/vardecl.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/constraints.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/functions.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/inference.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/inference2.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/methods.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/operations.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/types.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestExamples/typesets.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue20583.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue23203a.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue23203b.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue25838.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue26390.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue28251.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue3117.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39634.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39664.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39680.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39693.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39699.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39711.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39723.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39725.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39754.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39755.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39768.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39938.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39948.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39976.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue39982.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40038.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40056.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40057.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40301.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40350.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40684.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue40789.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue41124.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
cmd/compile/internal/types2:TestFixedbugs/issue41176.go	typechecker	NOT_ATTEMPTED	NONE	not-reached-before-wall-clock-cap	NONE	2	check-original-fixture;match-source-positioned-diagnostics
