runner	PASS	FAIL	SKIP	total
testdir	115	133	0	248
typechecker	0	0	0	0
package	0	1	0	1
total	115	134	0	249

owner	count
151	1
152	84
153	1
154	23
unclassified	2
retained	23
total	134
