runner	PASS	FAIL	SKIP	total	native-only
testdir	121	710	0	831	0
typechecker	0	18	0	18	0
package	0	26	0	26	0
total	121	754	0	875	0

product	roots	native-applicable	SKIP	native-only
total	875	875	0	0

owner	count
151	371
152	29
153	117
154	3
package	26
unclassified	33
retained	175
total	754
